id,state,location,guests,beds,property_type,n_reviews,rating,price
ZX5129,california,"Twin Peaks, San Francisco.",2,1,Condominium,8.0,97.0,104
GI1412,MASSACHUSETTS,"Jamaica Plain, Boston.",2,1,Apartment,1.0,99.0,100
AV5165,california,"West Hills, Los Angeles.",2,1,House,18.0,92.0,54
PR8803,Illinois,"South Loop/Printers Row, Chicago.",6,3,Condominium,43.0,95.0,158
EE3023,illinois,"South Loop/Printers Row, Chicago.",2,1,Apartment,15.0,100.0,119
DJ5169,california,"Santa Monica, Los Angeles.",2,1,Apartment,96.0,95.0,79
EL2829,Illinois,"Lakeview, Chicago.",2,1,Apartment,5.0,91.0,125
HN9958,massachusetts,"East Boston, Boston.",1,1,Apartment,3.0,99.0,74
YH5432,california,"Westlake, Los Angeles.",5,4,Apartment,136.0,95.0,149
PK7377,california,"Mid-Wilshire, Los Angeles.",3,1,Apartment,32.0,92.0,111
HD7298,Illinois,"Avondale, Chicago.",2,1,Apartment,72.0,94.0,59
ZG9806,ILLINOIS,"Bucktown, Chicago.",4,2,Apartment,57.0,98.0,150
XU7723,Illinois,"Ukrainian Village, Chicago.",7,4,Apartment,22.0,98.0,179
LQ3804,Illinois,"Bronzeville, Chicago.",4,3,Apartment,47.0,95.0,110
DN1649,California,"Lakeshore, San Francisco.",5,2,Apartment,4.0,100.0,199
GB7783,California,"West Hollywood, Los Angeles.",2,1,Apartment,103.0,96.0,100
KQ8906,california,"Nob Hill, San Francisco.",2,1,Apartment,40.0,94.0,119
ZN9465,CALIFORNIA,"Venice, Los Angeles.",1,1,Apartment,54.0,97.0,101
TM5494,California,"Haight-Ashbury, San Francisco.",2,1,Apartment,102.0,91.0,169
PM6836,Illinois,"River North, Chicago.",1,1,Hostel,2.0,80.0,59
MS3857,CALIFORNIA,"Western Addition/NOPA, San Francisco.",4,1,Boutique hotel,13.0,97.0,150
UE6349,california,"Cahuenga Pass, Los Angeles.",2,1,Bungalow,29.0,99.0,88
YH6654,CALIFORNIA,"Bayview, San Francisco.",1,1,House,13.0,91.0,59
GB3993,Massachusetts,"Charlestown, Boston.",3,1,Condominium,13.0,98.0,193
MG6193,massachusetts,"Roxbury, Boston.",2,1,Apartment,3.0,87.0,104
AN3249,MASSACHUSETTS,"Beacon Hill, Boston.",2,1,Apartment,143.0,97.0,160
FG7538,California,"Marina, San Francisco.",6,3,House,6.0,100.0,1800
SN8144,illinois,"Lakeview, Chicago.",2,2,House,21.0,100.0,95
KS3356,Massachusetts,"South End, Boston.",2,1,Apartment,28.0,92.0,128
VU7574,ILLINOIS,"Woodlawn, Chicago.",2,1,Apartment,3.0,99.0,110
HY1891,california,"Mar Vista, Los Angeles.",2,1,House,1.0,100.0,119
CJ7504,california,"Venice, Los Angeles.",2,1,House,31.0,90.0,100
FL9236,Massachusetts,"South Boston, Boston.",2,1,Townhouse,11.0,97.0,129
OB3204,california,"Hollywood, Los Angeles.",4,2,Apartment,19.0,95.0,125
NN7434,massachusetts,"East Boston, Boston.",3,1,Apartment,37.0,96.0,139
TT2718,California,"Santa Monica, Los Angeles.",4,2,Bungalow,8.0,90.0,139
GH2308,California,"Excelsior, San Francisco.",1,1,Guesthouse,18.0,90.0,139
LI9023,California,"Mar Vista, Los Angeles.",2,1,Bungalow,9.0,97.0,125
DG3042,Massachusetts,"Dorchester, Boston.",4,2,House,11.0,99.0,62
IR7191,california,"Hollywood, Los Angeles.",2,1,Apartment,9.0,95.0,74
JF4280,California,"Western Addition/NOPA, San Francisco.",4,2,Apartment,6.0,93.0,198
SE5568,Massachusetts,"South End, Boston.",7,3,Apartment,92.0,94.0,199
EA9738,ILLINOIS,"Albany Park, Chicago.",2,1,House,13.0,98.0,55
PE3784,California,"Westside, Los Angeles.",3,1,Apartment,12.0,97.0,76
OV1112,ILLINOIS,"South Shore, Chicago.",4,2,House,1.0,98.0,88
TR4377,MASSACHUSETTS,"North End, Boston.",2,1,Apartment,1.0,78.0,160
XM5115,Illinois,"Rogers Park, Chicago.",1,1,Apartment,3.0,40.0,59
QF6008,Massachusetts,"South End, Boston.",3,1,Apartment,5.0,92.0,160
TY9617,CALIFORNIA,"Mar Vista, Los Angeles.",2,1,Apartment,20.0,92.0,125
